SKU,Qty,Amount,% of Sales,Avg Price
14-2222-0001 (LED MODULE BAR W/ CONNECTORS  ),13000.0,38160.0,0.2%,2.94
"14-2222-0002 (CONNECTOR, GD 12"" LED STRIP  )",4000.0,12100.0,0.1%,3.03
"16-0306-0004 (PCB, RELAY, MOSFET & AROMAT CONFIG, ROHS.  )",46.0,2194.2,0.0%,47.7
"20-0129-0336 (LCD panel, 55"", 3840x2160)",70.0,27580.0,0.1%,394.0
20-0130-1267 (610mm 2pin m/f speaker extender wires),351.0,526.5,0.0%,1.5
"20-0130-1354 (Cable Mountable USB-A (M<>F) extension cable, 1.5m/4.9 feet USB 2.0)",1517.0,9065.0,0.0%,5.98
20-0130-1376 (Molex power cord extender - large connector),14.0,15.0,0.0%,1.07
"20-0130-1430 (20"" Molex Extender)",40.0,30.0,0.0%,0.75
"20-0130-1459 (Molex power cord extender - micro connector Male x Female, 1.6m)",346.0,1351.0,0.0%,3.9
"20-0130-1483 (Cable 3.5mm Audio Cable, Male/Male, 24"" Wire)",120.0,0.0,0.0%,0.0
"20-0130-1498 (Cable 5 meter extension cable for micro Molex power adapter, female...",337.0,1366.0,0.0%,4.05
20-0130-1509 (micro (BrightSign Built-In) Molex Y splitter into micro molex and b...,481.0,1494.0,0.0%,3.11
"20-0130-1554 (Molex power cord extender -i connector, Male(4.2mm) x Female(3.0mm)...",308.0,924.0,0.0%,3.0
"20-0130-1593 (Molex power cord extender - micro connector Male x Female, 99 inches)",142.0,426.0,0.0%,3.0
"20-0130-1603 (Cable - Power Cable Splitter, Micro molex female to splitter, micro...",250.0,800.0,0.0%,3.2
"20-0130-1639 (Cable 5.5x2.1 barrel jack extension cable, 72in    )",10.0,0.0,0.0%,0.0
20-0130-1719 (Update Cable for LCD firmware),141.0,42.5,0.0%,0.3
"20-0130-1920 (Micro Molex Male to DC5525 Male Power Cable, 1.2M Cord)",995.0,1055.0,0.0%,1.06
"20-0130-1928 (Molex Power Cord 1.5M Extender, Male to Female)",735.0,2205.0,0.0%,3.0
"20-0130-1936 (Cable USB cable,  Male to 5pin 2.0, 1.2 meter)",52.0,0.0,0.0%,0.0
20-0130-1939 (Cable 1M 3.5mm to 3.5mm cables),250.0,250.0,0.0%,1.0
20-0130-1960 (Cable 1M USB C to MicroUSB cables),550.0,1650.0,0.0%,3.0
20-0130-1989 (Cable USB A to Mini USB cable for 20-3002-2249),150.0,750.0,0.0%,5.0
20-0130-1992 (3 Way Splitter Molex in w/ two barrel and one female molex),100.0,500.0,0.0%,5.0
20-0130-2083 (Cable USB A to Mini USB 1.5m cable),1.0,0.0,0.0%,0.0
20-0150-0201 (Speaker 4ohm 3w on 350mm lead. 2 mounting holes),470.0,1054.5,0.0%,2.24
"20-0150-0249 (Power Adapter Type A, 12V/3A, Mini Molex 4pin, Wallwart, 1.2m cord  )",7.0,140.0,0.0%,20.0
"20-0150-0338 (2.5"" speaker with mounting holes on 20"" lead 8ohm 2w for C300)",25.0,0.0,0.0%,0.0
"20-0150-0378 (2.5"" speaker 4ohm 3w on 350mm lead)",849.0,1230.0,0.0%,1.45
"20-0150-0466 (Power Adapter Type A, 24V/4A, Mini Molex 4pin, Brick, 3m cord, UL L...",647.0,18304.45,0.1%,28.29
"20-0150-0487 (Power Adapter Type A, 12V/4A, Mini Molex 4pin, Brick, 3m cord  )",505.0,10000.0,0.0%,19.8
"20-0150-0497 (Power Adapter Type A, 12V/2A, Mini Molex 4pin, Wallwart, 1.5m cord,...",151.0,2100.0,0.0%,13.91
"20-0150-0577 (Power Adapter,Type I,  1.5M, 2 plug)",155.0,0.0,0.0%,0.0
"20-0150-0578 (Power Adapter,Type F, 1.5M, 2 plug)",195.0,46.0,0.0%,0.24
"20-0150-0579 (Power Adapter,Type G, 1.5M, 2 plug)",157.0,0.0,0.0%,0.0
"20-0150-0581 (Power Adapter,Type F, 1.5M, 3 plug)",29.0,0.0,0.0%,0.0
"20-0150-0582 (Power Adapter,Type G, 1.5M, 3 plug)",6.0,0.0,0.0%,0.0
"20-0150-0603 (Power Adapter Type A, 12V/2A, Micro Molex 4pin, Wallwart, 1.5m cord...",1709.0,23965.0,0.1%,14.02
"20-0150-0641 (Power Adapter Type A, 12V/3A, Micro Molex 4pin, Wallwart, 1.8m cord...",78.0,860.0,0.0%,11.03
"20-0150-0642 (Power Adapter Type A, 12V/4A, Micro Molex 4pin, Brick, 3m cord, UL ...",208.0,1466.0,0.0%,7.05
"20-0150-0653 (Power Adapter Type A/F/C/I/G, 12V/3A, Micro Molex 4pin, Wallwart, 1...",279.0,2749.0,0.0%,9.85
"20-0150-0656 (Cable Mini HDMI to HDMI cable, 3m length)",153.0,825.0,0.0%,5.39
20-0150-0657 (Cable Mini HDMI to Mini HDMI 10’ length (3M)    ),100.0,550.0,0.0%,5.5
"20-0150-0663 (mini-HDMI cable, 59 inches)",3.0,0.0,0.0%,0.0
20-0150-0711 (Power Adapter 12V/2A DC5.5x2.1 4pin Wall wart 1.5m cord International),1.0,0.0,0.0%,0.0
"20-0150-0742 (Power Adapter 12V/5A Type A to micro Molex brick power adapter, 3m ...",25.0,0.0,0.0%,0.0
"20-0150-0750 (Power Adapter Type A, 24V/6A, Mini Molex 4pin, Brick, 3m cord, UL L...",1.0,0.0,0.0%,0.0
20-0150-0802 (Cable HDMI to mini HDMI Cable Length 1.5 m),10.0,100.0,0.0%,10.0
20-0150-0803 (Cable Mini HDMI Cable Length 1.5 m),10.0,60.0,0.0%,6.0
"20-0150-0826 (Power Adapter Type A,  24V/12.5A Power Adapter for 20-3012-1026    )",5.0,425.0,0.0%,85.0
20-0150-0858 (Cable 6' HDMI Cable for Bose 20-3002-2249),287.0,861.0,0.0%,3.0
"20-0150-0866 (10W 4ohm Box Speaker, 2pin 2.0mm Connector, 350mm Cable)",6852.0,40632.0,0.2%,5.93
"20-0150-0875 (Power Adapter Type A, 12V/3A, Barrel ID 2.1mm OD 5.5mm, 1.5M Cord  )",15.0,210.0,0.0%,14.0
"20-0150-0880 (Power Adapter Type A, 24V/4A, Mini Molex 4pin, Brick, 0.5M AC/1.5M ...",738.0,13284.0,0.1%,18.0
20-0150-0888 (Cable Mini HDMI to Mini HDMI 6’ length (1.83M)    ),50.0,275.0,0.0%,5.5
"20-0150-0912 (Cable DisplayPort to HDMI cable, 4K 60Hz, 1m)",100.0,1500.0,0.0%,15.0
20-0160-0792 (Micro SD Card cover),93.0,230.0,0.0%,2.47
"20-0160-1496 (Black 39.4"" LiveTry Bracket - Center Notch for , Direct/Corp stores)",648.0,1975.0,0.0%,3.05
20-0160-2035 (Screw KM3*5mm Iron Black),53.0,75.0,0.0%,1.42
20-0160-2868 (Custom metal bracket for HP Mini G9R),100.0,4500.0,0.0%,45.0
20-0160-4801 (OVATION Sticker),14.0,0.02,0.0%,0.0
"20-0160-5194 (Packaging for 32"" for 20-3008-1172)",36.0,0.0,0.0%,0.0
"20-0160-5195 (Packaging for 32"" for 20-3008-1172 - Partition 1)",36.0,0.0,0.0%,0.0
"20-0160-5196 (Packaging for 32"" for 20-3008-1172 - Partition 2)",18.0,0.0,0.0%,0.0
"20-0160-5197 (Packaging for 32"" for 20-3008-1172 - Box)",18.0,0.0,0.0%,0.0
"20-0160-7474 (White 39.4"" LiveTry Bracket - Center Notch for , Direct/Corp stores)",24.0,0.0,0.0%,0.0
20-3000-0430 (R Series Core Board 2GB DDR 16GB eMMC),2357.0,1070.8,0.0%,0.45
20-3000-0431 (R Series Core Board 2GB DDR 32GB eMMC),5.0,200.0,0.0%,40.0
20-3000-0432 (R Series Core Board 4GB DDR 16GB eMMC),21.0,90.0,0.0%,4.29
20-3000-0433 (R Series Core Board 4GB DDR 32GB eMMC),388.0,0.0,0.0%,0.0
20-3000-0436 (R Series Core Board 4GB DDR 64GB eMMC),1.0,0.0,0.0%,0.0
"20-3000-0458 (USB Camera Module, 5M Pixel Color CMOS Sensor)",6.0,120.0,0.0%,20.0
"20-3000-0499 (Wifi Module, Intel, Wi-Fi5, 3165)",2.0,0.0,0.0%,0.0
"20-3000-0519 (G1 Intel Celeron 4GB/64GB, no fan, audio out, MIC in, 2xUSB, Serial...",15.0,0.0,0.0%,0.0
20-3000-0535 (Quectel 4G module EC25-AFXD mini PCIe (South Africa)),107.0,0.0,0.0%,0.0
"20-3000-0543 (G2 Galaxy Link Main AMP, PCB-012-G2)",70.0,22939.0,0.1%,327.7
"20-3000-0544 (G2 Galaxy Link Daughter Card, PCB-015-G)",70.0,2608.9,0.0%,37.27
20-3000-0559 (Intel N97 board 16GB/128GB),54.0,0.0,0.0%,0.0
20-3000-0568 (Intel N97 board 8GB/128GB),885.0,920.0,0.0%,1.04
20-3000-0569 (Intel N97 board 4GB/128GB),1.0,0.0,0.0%,0.0
20-3000-0572 (Intel N97 board 8GB/64GB),8.0,0.0,0.0%,0.0
20-3000-0578 (Intel wifi5 9560 w/ 2x ANT),558.0,13774.0,0.1%,24.68
20-3000-0589 (Darko/Ecobee Board),333.0,12987.0,0.1%,39.0
20-3000-1060 (Motion sensor 610mm wire length),11.0,19.0,0.0%,1.73
20-3000-1158 (BUTTON White Metal LED Button Installation Size 16mm 610mm wire 3pi...,40.0,0.0,0.0%,0.0
20-3000-1289 (BUTTON Metal Button with White LED Installation Size 16mm 610mm wir...,40.0,200.0,0.0%,5.0
20-3000-1362 (LED Terminal box 12 connections),3.0,507.0,0.0%,169.0
"20-3000-1363 (BUTTON Two 19mm metal buttons white LED ring GPIO assembly 36"" lead...",8.0,96.0,0.0%,12.0
"20-3000-1364 (BUTTON One 19mm metal button, white LED ring GPIO assembly 36' lead...",7.0,53.5,0.0%,7.64
"20-3000-1370 (BUTTON 19mm metal button White LED 3-pin for V, 36"" with in line co...",16.0,78.0,0.0%,4.88
"20-3000-1374 (BUTTON 19mm metal button White LED 3-pin for V 54""  in line connect...",90.0,605.0,0.0%,6.72
"20-3000-1378 (BUTTON 19mm metal button White LED 3-pin for V 54""  in line connect...",200.0,1300.0,0.0%,6.5
20-3000-1382 (USB button box with 1.5m USB2.0 cable supports 10x4 pin push button...,11.0,217.0,0.0%,19.73
"20-3000-1393 (BUTTON 19mm one metal button, white LED ring, GPIO assembly, 244"" l...",156.0,2325.0,0.0%,14.9
"20-3000-1419 (BUTTON 19mm Metal Button White LED Ring 4 Pin 24"" Wire)",3217.0,17016.0,0.1%,5.29
20-3000-1419C (BUTTON 19mm Metal Button White LED Ring 4 Pin with custom cable 64...,766.0,4787.5,0.0%,6.25
20-3000-1442 (BUTTON 19mm Touchless Button 1 Button with GPIO Terminal 610mm Wire...,2.0,20.0,0.0%,10.0
20-3000-1456 (BUTTON 19mm Touchless Button 3 Buttons with GPIO Terminal 610mm Wir...,3.0,93.0,0.0%,31.0
"20-3000-1462 (Audio board 3 outpu, standard push button compatible)",40.0,3360.0,0.0%,84.0
20-3000-1486 (WiFi and Antenna for R Series),2575.0,44100.0,0.2%,17.13
"20-3000-1488 (R Series 4K Media Player Box, 12V/2A, w/o Core Board)",2.0,0.0,0.0%,0.0
20-3000-1501 (19mm (three pcs) Button with Full size 12-pin GPIO for BrightSign P...,3.0,0.0,0.0%,0.0
20-3000-1503 (BUTTON 19mm Button with Full size 12-pin GPIO for BrightSign Purple...,615.0,5535.0,0.0%,9.0
"20-3000-1504 (BUTTON 19mm Contactless Button, 36” (915mm) Lead for V-Series)",1570.0,18840.0,0.1%,12.0
20-3000-1506 (Button and LED control board with 12V/2A power supply and serial ca...,358.0,8269.0,0.0%,23.1
"20-3000-1507 (Power distribution Assembly, 12V 10A IN, w/ power supply)",10.0,680.0,0.0%,68.0
20-3000-1510 (Quectel 4G module EC25-AFXD mini PCIe),36.0,1357.0,0.0%,37.69
20-3000-1520 (Installation kit for HP Mini G9R),2300.0,54780.0,0.3%,23.82
20-3000-1521 (Update Cable for Daisy Chain),20.0,15.0,0.0%,0.75
